alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Samsung,8806090562396,https://d.otto.de/files/fd05d1f6-c89f-55b2-9fee-d4f692461ec3.pdf,,RL36T670CSA,,Kühl-Gefrierkombinationen,de,Kühlschränke,,otto.de,https://i.otto.de/i/otto/e9a8956b-1cca-5476-a749-ce684dc0a861/samsung-kuehl-gefrierkombination-rl36t670csa-193-5-cm-hoch-59-5-cm-breit.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/samsung-kuehl-gefrierkombination-rl36t670csa-193-5-cm-hoch-59-5-cm-breit-1214337474/,
,Liebherr,4016803100799,https://d.otto.de/files/8ee4e50a-8526-5cae-8f49-814aab67075a.pdf,,CBNsda 5723_994859851,,Kühl-Gefrierkombinationen,de,Kühlschränke,,otto.de,https://i.otto.de/i/otto/3a5ae6b9-7b5f-5082-a6ad-f65844cfc7a3/liebherr-kuehl-gefrierkombination-cbnsda-5723_994859851-201-5-cm-hoch-59-7-cm-breit-10-jahre-herstellergarantie-inkl-silberfarben.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/liebherr-kuehl-gefrierkombination-cbnsda-5723_994859851-201-5-cm-hoch-59-7-cm-breit-10-jahre-herstellergarantie-inkl-1677223172/,
,GORENJE,3838782566776,https://d.otto.de/files/be1c1046-50a1-57af-b5f7-db918ebc5ea4.pdf,,NK79C0DR,,Kühl-Gefrierkombinationen,de,Kühlschränke,,otto.de,https://i.otto.de/i/otto/056b9ed9-ca12-5bf5-8c7a-d2b9a39cdea3/gorenje-kuehl-gefrierkombination-nk79c0dr-185-cm-hoch-60-cm-breit-4-jahre-herstellergarantie-bordeaux.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/gorenje-kuehl-gefrierkombination-nk79c0dbk-185-cm-hoch-60-cm-breit-4-jahre-herstellergarantie-1451888221/,
,Samsung,8806092536586,https://d.otto.de/files/8176f52a-bdb5-537c-919b-fb08529073a8.pdf,,RS6GA854CSL,,Side-by-Side Kühlschränke,de,Kühlschränke,,otto.de,https://i.otto.de/i/otto/6f396da2-84f8-56bb-8d20-d22bb5d1657a/samsung-side-by-side-rs6ga854csl-178-cm-hoch-91-2-cm-breit-interner-wassertank-kein-festwasseranschluss-noetig.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/samsung-side-by-side-rs6ga854csl-178-cm-hoch-91-2-cm-breit-interner-wassertank-kein-festwasseranschluss-noetig-1524534278/,
,Samsung,8806090562365,https://d.otto.de/files/c71a2724-a2df-51d5-9af8-67490c040a4c.pdf,,RL36T600CSA,,Kühl-Gefrierkombinationen,de,Kühlschränke,,otto.de,https://i.otto.de/i/otto/8decd1d8-ecb3-5007-bca7-79264dcfb849/samsung-kuehl-gefrierkombination-rl36t600csa-193-5-cm-hoch-59-5-cm-breit.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/samsung-kuehl-gefrierkombination-rl36t600csa-193-5-cm-hoch-59-5-cm-breit-1611550146/,
,WMF,4000530680563,https://d.otto.de/files/ebc77fd6-ceab-5df3-a5f0-9bc40313c0fd.pdf,,Inspiration,,Topfsets,de,Marc Jacobs,,otto.de,https://i.otto.de/i/otto/7ea62417-3d2b-5840-8415-9b9feba23fae/wmf-topf-set-inspiration-cromargan-edelstahl-rostfrei-18-10-set-11-tlg-induktion.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/wmf-topf-set-inspiration-cromargan-edelstahl-rostfrei-18-10-set-11-tlg-induktion-455860350/,
,EUFAB,4006132115212,https://d.otto.de/files/d2eec495-e78f-5621-a656-45636012aecf.pdf,,PREMIUM 2,,Fahrradträger,de,Fahrradträger,,otto.de,https://i.otto.de/i/otto/41f68312-40ca-5168-810d-852d06f18379/eufab-kupplungsfahrradtraeger-premium-2-fuer-max-2-raeder-abschliessbar.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/eufab-kupplungsfahrradtraeger-premium-2-fuer-max-2-raeder-abschliessbar-1278557415/,
,Amor,4020689293032,https://d.otto.de/files/21695921.pdf,,mit Zirkonia,,Silberringe,de,Schmuck,,otto.de,https://i.otto.de/i/otto/96af38fc-2ec4-5a2f-a29e-75eac4f0956e/amor-silberring-mit-zirkonia.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/amor-silberring-mit-zirkonia-C643335546/,
,De'Longhi,8004399334342,https://d.otto.de/files/36733272.pdf,,Perfecta Evo ESAM 428.40.BS,,Kaffeevollautomaten,de,Kaffeevollautomaten,,otto.de,https://i.otto.de/i/otto/8bf9537e-ac0b-5d7d-8e59-2e5a7f2a7fa8/de-longhi-kaffeevollautomat-perfecta-evo-esam-428-40-bs-kaffeekannenfunktion-inkl-pflegeset-im-wert-von-31-99-uvp.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/de-longhi-kaffeevollautomat-perfecta-evo-esam-428-40-bs-kaffeekannenfunktion-inkl-pflegeset-im-wert-von-31-99-uvp-966618996/,
,De'Longhi,8004399328846,https://d.otto.de/files/18959195.pdf,,Kaffeevollautomat Magnifica ESAM 4008,,Kaffeevollautomaten,de,Kaffeepadmaschinen,,otto.de,https://i.otto.de/i/otto/8cece08f-129c-53bd-bf05-14b9b25e4db0/de-longhi-kaffeevollautomat-magnifica-esam-4008.jpg?$formatz$,Bedienungsanleitung,https://www.otto.de:443/p/de-longhi-kaffeevollautomat-magnifica-esam-4008-454060394/,
